+--------------+-------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------+
| event number |                                                     name                                                    |                                           date                                           |                                                        location                                                        |                                      url                                       |
|      53      |                                        BikeFest: Ride to Lake Whatcom                                       |                  From Friday, September 26, 2025 3:00 PM to 5:00 PM PDT                  |                                                 Outdoor Center (VU150)                                                 |                       https://win.wwu.edu/event/11442231                       |
|      54      |                                        BikeFest: Farmers Market Ride                                        |                From Saturday, September 27, 2025 12:00 PM to 2:00 PM PDT                 |                                                 Outdoor Center (VU150)                                                 |                       https://win.wwu.edu/event/11442335                       |
|      55      |                                         Fall Lake Day @ WWU Lakewood                                        |                From Saturday, September 27, 2025 12:00 PM to 6:00 PM PDT                 |                                                   Lakewood Boathouse                                                   |                       https://win.wwu.edu/event/11511196                       |
|      56      |                                                West Fest 2025                                               |                 From Saturday, September 27, 2025 5:00 PM to 9:00 PM PDT                 |                                                       Red Square                                                       |                       https://win.wwu.edu/event/11500175                       |
|      57      |                              DisOrientation: Your Guide to an Accessible Campus                             |  From Wednesday, September 3, 2025 12:00 AM to Sunday, September 28, 2025 11:45 PM PDT   |                                                         Varies                                                         |                       https://win.wwu.edu/event/11361189                       |
|      58      |                                    Week Without Driving: Ride to Downtown                                   |                  From Monday, September 29, 2025 5:00 PM to 7:00 PM PDT                  |                                                  Red Square Fountain                                                   |                       https://win.wwu.edu/event/11466204                       |
|      59      |                                               Resume Makeover                                               |                 From Tuesday, September 30, 2025 4:15 PM to 4:45 PM PDT                  |                                             Hybrid: Old Main 280 and Zoom                                              |                       https://win.wwu.edu/event/11527432                       |
|      60      |                     Disability Action Month: Disability Pride Flag Raising and Reception                    |                 From Tuesday, September 30, 2025 4:30 PM to 6:00 PM PDT                  |                                   Flag Plaza & Kaiser Borsari Hall 122 (Event Space)                                   |                       https://win.wwu.edu/event/11477410                       |
|      61      |                                             Perfectly Imperfect                                             |                 From Tuesday, September 30, 2025 4:00 PM to 8:00 PM PDT                  |                                            Planet Eats @ Fairhaven Commons                                             |                       https://win.wwu.edu/event/11365720                       |
|      62      |                                          Cover Letter Crash Course                                          |                  From Wednesday, October 1, 2025 4:15 PM to 4:45 PM PDT                  |                                             Hybrid: Old Main 280 and Zoom                                              |                       https://win.wwu.edu/event/11527653                       |
|      63      |                                        Women & Non-Binary Climb Night                                       |                  From Wednesday, October 1, 2025 7:30 PM to 9:30 PM PDT                  |                                  Wade King Student Recreation Center - Climbing Wall                                   |                       https://win.wwu.edu/event/11332231                       |
|      64      |                                   Week Without Driving: Ride to Fred Meyer                                  |                  From Thursday, October 2, 2025 3:00 PM to 5:00 PM PDT                   |                                                  Red Square Fountain                                                   |                       https://win.wwu.edu/event/11466290                       |
|      65      |                                        Latin'e Heritage Month Special                                       |                   From Friday, October 3, 2025 11:00 AM to 1:00 PM PDT                   |                                               Food Hall @ Viking Commons                                               |                       https://win.wwu.edu/event/11365730                       |
|      66      |                                  Week Without Driving: Ride to Bellis Fair                                  |                   From Friday, October 3, 2025 4:00 PM to 6:30 PM PDT                    |                                                  Red Square Fountain                                                   |                       https://win.wwu.edu/event/11466358                       |
|      67      |                                        Mythical Mayhem: VU Late Night                                       |                  From Saturday, October 4, 2025 8:00 PM to 11:30 PM PDT                  |                                                   Viking Union, WWU                                                    |                       https://win.wwu.edu/event/11528586                       |
|      68      |                                       Demo Week | Free Fitness Classes                                      |      From Monday, September 29, 2025 4:00 PM to Sunday, October 5, 2025 6:00 PM PDT      |                                          Wade King Student Recreation Center                                           |                       https://win.wwu.edu/event/11343038                       |
|      69      |                                      Demo Week | Group Fitness Classes                                      |      From Monday, September 29, 2025 4:00 PM to Sunday, October 5, 2025 8:00 PM PDT      |                                          Wade King Student Recreation Center                                           |                       https://win.wwu.edu/event/11332257                       |
|      70      |                                           Explore your Career Path                                          |                   From Tuesday, October 7, 2025 4:15 PM to 4:45 PM PDT                   |                                             Hybrid: Old Main 280 and Zoom                                              |                       https://win.wwu.edu/event/11527757                       |
|      71      |                                          Job & Internship Jumpstart                                         |                  From Wednesday, October 8, 2025 4:15 PM to 4:45 PM PDT                  |                                             Hybrid: Old Main 280 and Zoom                                              |                       https://win.wwu.edu/event/11527814                       |
|      72      |                                        Latin'e Heritage Month Special                                       |                  From Wednesday, October 8, 2025 4:00 PM to 8:00 PM PDT                  |                                             The Eatery @ Ridgeway Commons                                              |                       https://win.wwu.edu/event/11365731                       |
|      73      |                                Disability Action Month: unseen Film Screening                               |                  From Thursday, October 9, 2025 5:30 PM to 8:00 PM PDT                   |                                         Viking Union Underground Coffee House                                          |                       https://win.wwu.edu/event/11477425                       |
|      74      |                                    Fall Intramural League Sports Sign Up!                                   |    From Monday, September 22, 2025 12:00 AM to Thursday, October 9, 2025 11:45 PM PDT    |                                                         Online                                                         | https://www.imleagues.com/spa/intramural/30988b10e3474d06b8a63112518d37fe/home |
|      75      |                                                Resume Clinic                                                |                  From Tuesday, October 14, 2025 11:00 AM to 2:00 PM PDT                  |                                                    Haggard Hall 210                                                    |                       https://win.wwu.edu/event/11528134                       |
|      76      |                                          Cover letter Crash Course                                          |                  From Tuesday, October 14, 2025 4:15 PM to 4:45 PM PDT                   |                                             Hybrid: Old Main 280 and Zoom                                              |                       https://win.wwu.edu/event/11527862                       |
|      77      |                                        Latin'e Heritage Month Special                                       |                  From Tuesday, October 14, 2025 4:00 PM to 8:00 PM PDT                   |                                            Planet Eats @ Fairhaven Commons                                             |                       https://win.wwu.edu/event/11365732                       |
