+--------------+--------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------+------------------------------------+
| event number |                                                           name                                                           |                                           date                                           |                                                        location                                                        |                url                 |
|      46      |                                                   Fall Info Fair 2025                                                    |                  From Monday, September 22, 2025 2:00 PM to 4:00 PM PDT                  |                                               Red Square and Flag Plaza                                                | https://win.wwu.edu/event/11369799 |
|      47      |                                                 BikeFest: Learn to Ride                                                  |                  From Monday, September 22, 2025 3:00 PM to 4:30 PM PDT                  |                                                 Outdoor Center (VU150)                                                 | https://win.wwu.edu/event/11441536 |
|      48      |                                               Late Night at the Rec Center                                               |                 From Monday, September 22, 2025 9:00 PM to 11:45 PM PDT                  |                                          Wade King Student Recreation Center                                           | https://win.wwu.edu/event/11340579 |
|      49      |                       DisOrientation: Glam Up Your Accessibility Aids & Campus Accessibility Tours                       |                 From Tuesday, September 23, 2025 11:00 AM to 4:00 PM PDT                 | Viking Union Multicultural Center Multi-Use Room (VU 735), Multicultural Center Kitchen/Social Area, and Across Campus | https://win.wwu.edu/event/11360961 |
|      50      |                                     Lawn Game Extravaganza with the Outdoor Center!                                      |                 From Tuesday, September 23, 2025 1:00 PM to 4:00 PM PDT                  |                                      Old Main Lawn, Western Washington University                                      | https://win.wwu.edu/event/11368447 |
|      51      |                                             BikeFest: Confident City Cycling                                             |                 From Tuesday, September 23, 2025 3:00 PM to 4:30 PM PDT                  |                                                 Outdoor Center (VU150)                                                 | https://win.wwu.edu/event/11441964 |
|      52      |                                             DisOrientation: Speed Friending                                              |                From Wednesday, September 24, 2025 3:30 PM to 5:00 PM PDT                 |                                                    Viking Union 464                                                    | https://win.wwu.edu/event/11361017 |
|      53      |                     WWU Family Outreach Office Hours:                          Coffee, Tea & Family                      |   From Monday, September 22, 2025 10:00 AM to Thursday, September 25, 2025 2:00 PM PDT   |                                                         Online                                                         | https://win.wwu.edu/event/11466988 |
|      54      |                                 Orientation and Transition Office Hours for New Students                                 |   From Monday, September 22, 2025 10:00 AM to Thursday, September 25, 2025 2:00 PM PDT   |                                                         Online                                                         | https://win.wwu.edu/event/11467230 |
|      55      | Volunteer with students, staff and Alumni for SeaFeast – Event Setup & discussion with Seafeast organizers.  (Cancelled) |                 From Thursday, September 25, 2025 2:00 PM to 5:30 PM PDT                 |                                                      Zuanich Park                                                      | https://win.wwu.edu/event/11380750 |
|      56      |                             SeaFeast Experience: Event Setup & Conversation with Organizers                              |                 From Thursday, September 25, 2025 2:00 PM to 5:30 PM PDT                 |                                                      Zuanich Park                                                      | https://win.wwu.edu/event/11380751 |
|      57      |                                               DisOrientation: Silent Disco                                               |                From Thursday, September 25, 2025 8:00 PM to 10:00 PM PDT                 |                                           Red Square (Rain Back-Up: VU MPR)                                            | https://win.wwu.edu/event/11361048 |
|      58      |                                                     DIY Dirty Sodas                                                      |                 From Friday, September 26, 2025 11:00 AM to 1:00 PM PDT                  |                                                     Viking Commons                                                     | https://win.wwu.edu/event/11365697 |
|      59      |                                              BikeFest: Ride to Lake Whatcom                                              |                  From Friday, September 26, 2025 3:00 PM to 5:00 PM PDT                  |                                                 Outdoor Center (VU150)                                                 | https://win.wwu.edu/event/11442231 |
|      60      |                                              BikeFest: Farmers Market Ride                                               |                From Saturday, September 27, 2025 12:00 PM to 2:00 PM PDT                 |                                                 Outdoor Center (VU150)                                                 | https://win.wwu.edu/event/11442335 |
|      61      |                                               Fall Lake Day @ WWU Lakewood                                               |                From Saturday, September 27, 2025 12:00 PM to 6:00 PM PDT                 |                                                   Lakewood Boathouse                                                   | https://win.wwu.edu/event/11511196 |
|      62      |                                                      West Fest 2025                                                      |                 From Saturday, September 27, 2025 5:00 PM to 9:00 PM PDT                 |                                                       Red Square                                                       | https://win.wwu.edu/event/11500175 |
|      63      |                                    DisOrientation: Your Guide to an Accessible Campus                                    |  From Wednesday, September 3, 2025 12:00 AM to Sunday, September 28, 2025 11:45 PM PDT   |                                                         Varies                                                         | https://win.wwu.edu/event/11361189 |
|      64      |                                          Week Without Driving: Ride to Downtown                                          |                  From Monday, September 29, 2025 5:00 PM to 7:00 PM PDT                  |                                                  Red Square Fountain                                                   | https://win.wwu.edu/event/11466204 |
|      65      |                                                     Resume Makeover                                                      |                 From Tuesday, September 30, 2025 4:15 PM to 4:45 PM PDT                  |                                             Hybrid: Old Main 280 and Zoom                                              | https://win.wwu.edu/event/11527432 |
|      66      |                           Disability Action Month: Disability Pride Flag Raising and Reception                           |                 From Tuesday, September 30, 2025 4:30 PM to 6:00 PM PDT                  |                                   Flag Plaza & Kaiser Borsari Hall 122 (Event Space)                                   | https://win.wwu.edu/event/11477410 |
|      67      |                                                   Perfectly Imperfect                                                    |                 From Tuesday, September 30, 2025 4:00 PM to 8:00 PM PDT                  |                                            Planet Eats @ Fairhaven Commons                                             | https://win.wwu.edu/event/11365720 |
|      68      |                                                Cover Letter Crash Course                                                 |                  From Wednesday, October 1, 2025 4:15 PM to 4:45 PM PDT                  |                                             Hybrid: Old Main 280 and Zoom                                              | https://win.wwu.edu/event/11527653 |
|      69      |                                              Women & Non-Binary Climb Night                                              |                  From Wednesday, October 1, 2025 7:30 PM to 9:30 PM PDT                  |                                  Wade King Student Recreation Center - Climbing Wall                                   | https://win.wwu.edu/event/11332231 |
|      70      |                                         Week Without Driving: Ride to Fred Meyer                                         |                  From Thursday, October 2, 2025 3:00 PM to 5:00 PM PDT                   |                                                  Red Square Fountain                                                   | https://win.wwu.edu/event/11466290 |
|      71      |                                              Latin'e Heritage Month Special                                              |                   From Friday, October 3, 2025 11:00 AM to 1:00 PM PDT                   |                                               Food Hall @ Viking Commons                                               | https://win.wwu.edu/event/11365730 |
|      72      |                                        Week Without Driving: Ride to Bellis Fair                                         |                   From Friday, October 3, 2025 4:00 PM to 6:30 PM PDT                    |                                                  Red Square Fountain                                                   | https://win.wwu.edu/event/11466358 |
|      73      |                                              Mythical Mayhem: VU Late Night                                              |                  From Saturday, October 4, 2025 8:00 PM to 11:30 PM PDT                  |                                                   Viking Union, WWU                                                    | https://win.wwu.edu/event/11528586 |
|      74      |                                       Demo Week | Free Fitness Classes (Cancelled)                                       |      From Monday, September 29, 2025 4:00 PM to Sunday, October 5, 2025 6:00 PM PDT      |                                          Wade King Student Recreation Center                                           | https://win.wwu.edu/event/11343038 |
|      75      |                                            Demo Week | Group Fitness Classes                                             |      From Monday, September 29, 2025 4:00 PM to Sunday, October 5, 2025 8:00 PM PDT      |                                          Wade King Student Recreation Center                                           | https://win.wwu.edu/event/11332257 |
|      76      |                                                 Explore your Career Path                                                 |                   From Tuesday, October 7, 2025 4:15 PM to 4:45 PM PDT                   |                                             Hybrid: Old Main 280 and Zoom                                              | https://win.wwu.edu/event/11527757 |
|      77      |                                                Job & Internship Jumpstart                                                |                  From Wednesday, October 8, 2025 4:15 PM to 4:45 PM PDT                  |                                             Hybrid: Old Main 280 and Zoom                                              | https://win.wwu.edu/event/11527814 |
|      78      |                                              Latin'e Heritage Month Special                                              |                  From Wednesday, October 8, 2025 4:00 PM to 8:00 PM PDT                  |                                             The Eatery @ Ridgeway Commons                                              | https://win.wwu.edu/event/11365731 |
|      79      |                                      Disability Action Month: unseen Film Screening                                      |                  From Thursday, October 9, 2025 5:30 PM to 8:00 PM PDT                   |                                         Viking Union Underground Coffee House                                          | https://win.wwu.edu/event/11477425 |
|      80      |                                          Fall Intramural League Sports Sign Up!                                          |    From Monday, September 22, 2025 12:00 AM to Thursday, October 9, 2025 11:45 PM PDT    |                                                         Online                                                         | https://win.wwu.edu/event/11332301 |
